kaithi,hindi
𑂍𑂪 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल सीता घर जा रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम बाजार जा रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम घर लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम बाजार जा रहा हूँ
𑂄𑂔 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज तुम किताब खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂯𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे हम किताब खा रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं किताब जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता घर लिख रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂍𑂱𑂞𑂰𑂥 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता किताब देख रहा हूँ
𑂄𑂔 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,आज हम खाना जा रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम स्कूल जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी वह बाजार खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂮𑂹𑂍𑂴𑂪 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम स्कूल पढ़ रहा हूँ
𑂍𑂪 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,कल हम खाना लिख रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता खाना देख रहा हूँ
𑂃𑂦𑂲 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी तुम किताब लिख रहा हूँ
𑂍𑂪 𑂧𑂶𑂁 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल मैं बाजार खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता खाना लिख रहा हूँ
𑂄𑂔 𑂩𑂰𑂧 𑂍𑂱𑂞𑂰𑂥 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,आज राम किताब पढ़ रहा हूँ
𑂃𑂦𑂲 𑂧𑂶𑂁 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी मैं घर जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂯𑂧 𑂎𑂰𑂢𑂰 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी हम खाना देख रहा हूँ
𑂃𑂦𑂲 𑂩𑂰𑂧 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी राम घर खा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂥𑂰𑂔𑂰𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम बाजार खा रहा हूँ
𑂍𑂪 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल तुम किताब जा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी राम बाजार पढ़ रहा हूँ
𑂍𑂪 𑂫𑂯 𑂐𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह घर जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम बाजार जा रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂍𑂱𑂞𑂰𑂥 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम किताब खा रहा हूँ
𑂄𑂔 𑂮𑂲𑂞𑂰 𑂐𑂩 𑂠𑂵𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज सीता घर देख रहा हूँ
𑂡𑂲𑂩𑂵 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे वह स्कूल जा रहा हूँ
𑂃𑂦𑂲 𑂯𑂧 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी हम बाजार पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂞𑂳𑂧 𑂐𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे तुम घर पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂧𑂶𑂁 𑂮𑂹𑂍𑂴𑂪 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे मैं स्कूल खा रहा हूँ
𑂍𑂪 𑂫𑂯 𑂍𑂱𑂞𑂰𑂥 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह किताब जा रहा हूँ
𑂍𑂪 𑂫𑂯 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल वह बाजार पढ़ रहा हूँ
𑂡𑂲𑂩𑂵 𑂩𑂰𑂧 𑂥𑂰𑂔𑂰𑂩 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,धीरे राम बाजार लिख रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह घर खा रहा हूँ
𑂃𑂦𑂲 𑂫𑂯 𑂮𑂹𑂍𑂴𑂪 𑂔𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,अभी वह स्कूल जा रहा हूँ
𑂍𑂪 𑂩𑂰𑂧 𑂎𑂰𑂢𑂰 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,कल राम खाना पढ़ रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂞𑂳𑂧 𑂐𑂩 𑂎𑂰 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी तुम घर खा रहा हूँ
𑂔𑂪𑂹𑂠𑂲 𑂮𑂲𑂞𑂰 𑂥𑂰𑂔𑂰𑂩 𑂣𑂜 𑂩𑂯𑂰 𑂯𑂴𑂀,जल्दी सीता बाजार पढ़ रहा हूँ
𑂄𑂔 𑂧𑂶𑂁 𑂎𑂰𑂢𑂰 𑂪𑂱𑂎 𑂩𑂯𑂰 𑂯𑂴𑂀,आज मैं खाना लिख रहा हूँ
